model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,pareto_return_sharpe_drawdown,top10_annualized_net_return,top10_net_sharpe,top10_net_sortino,top10_max_drawdown,top10_annualized_net_volatility,top10_avg_turnover,top10_avg_exposure,annualized_net_return_delta_vs_top10,net_sharpe_delta_vs_top10,net_sortino_delta_vs_top10,max_drawdown_delta_vs_top10,annualized_net_volatility_delta_vs_top10,avg_turnover_delta_vs_top10,avg_exposure_delta_vs_top10
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.3876084852443318,1.1538021633596185,2.4373418834184335,-0.47142237385440844,0.8222106262695938,0.015180485423496497,0.002624454572086001,0.007458261943503612,0.644921878778043,16.25203134520668,0.023849848490395124,0.0006449218787780429,0.0,0.5097731975858483,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,15,0.33155444219155844,9.410015757510605,0.13893429172878594,False,0.3876084852443318,1.1538021633596185,2.4373418834184335,-0.47142237385440844,0.33155444219155844,0.644921878778043,0.5097731975858483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p50,0.25,1.5,overall,139,0.4112496478141332,1.183712285030707,2.5296071617332134,-0.4714223738544083,0.8723592061439609,0.015960760453889604,0.002624454572086001,0.007458261943503612,0.6604920689104412,16.64440013654312,0.0247079885391139,0.0006604920689104412,0.0,0.5223631256434021,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,15,0.33978794384784494,9.410015757510605,0.13893429172878594,True,0.4112496478141332,1.183712285030707,2.5296071617332134,-0.4714223738544083,0.33978794384784494,0.6604920689104412,0.5223631256434021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,0.25,1.5,overall,139,0.3876084852443318,1.1538021633596185,2.4373418834184335,-0.47142237385440844,0.8222106262695938,0.015180485423496497,0.002624454572086001,0.007458261943503612,0.644921878778043,16.25203134520668,0.023849848490395124,0.0006449218787780429,0.0,0.5097731975858483,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,15,0.33155444219155844,9.410015757510605,0.13893429172878594,False,0.3876084852443318,1.1538021633596185,2.4373418834184335,-0.47142237385440844,0.33155444219155844,0.644921878778043,0.5097731975858483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.42643311827890207,1.1666504963613318,2.3561218867316733,-0.4972338925819906,0.8576107233249111,0.01667251183843804,0.002624454572086001,0.007458261943503612,0.6985386350343876,17.60317360286657,0.024224786274303405,0.0006985386350343877,0.0,0.5519190116705941,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,15,0.3601312472236001,9.410015757510605,0.13893429172878594,True,0.42643311827890207,1.1666504963613318,2.3561218867316733,-0.4972338925819906,0.3601312472236001,0.6985386350343876,0.5519190116705941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.4026614071814276,1.1403733273228163,2.279926123964732,-0.49535739996743977,0.8128704793910313,0.015872950037253915,0.002624454572086001,0.007458261943503612,0.6802408682021828,17.142069878695004,0.023489660818724976,0.0006802408682021828,0.0,0.5373206323342836,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,15,0.35076087045796656,9.410015757510605,0.13893429172878594,False,0.4026614071814276,1.1403733273228163,2.279926123964732,-0.49535739996743977,0.35076087045796656,0.6802408682021828,0.5373206323342836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.42643311827890207,1.1666504963613318,2.3561218867316733,-0.4972338925819906,0.8576107233249111,0.01667251183843804,0.002624454572086001,0.007458261943503612,0.6985386350343876,17.60317360286657,0.024224786274303405,0.0006985386350343877,0.0,0.5519190116705941,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,15,0.3601312472236001,9.410015757510605,0.13893429172878594,True,0.42643311827890207,1.1666504963613318,2.3561218867316733,-0.4972338925819906,0.3601312472236001,0.6985386350343876,0.5519190116705941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.4026614071814276,1.1403733273228163,2.279926123964732,-0.49535739996743977,0.8128704793910313,0.015872950037253915,0.002624454572086001,0.007458261943503612,0.6802408682021828,17.142069878695004,0.023489660818724976,0.0006802408682021828,0.0,0.5373206323342836,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,15,0.35076087045796656,9.410015757510605,0.13893429172878594,False,0.4026614071814276,1.1403733273228163,2.279926123964732,-0.49535739996743977,0.35076087045796656,0.6802408682021828,0.5373206323342836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,static_1x,,1.0,overall,139,0.5451146844162564,1.0470231918687425,2.0169246371188545,-0.7650950873664673,0.712479655689066,0.02357092157590989,0.002624454572086001,0.007458261943503612,1.1618705035971224,29.279136690647483,0.018617853735775625,0.0011618705035971223,0.0,1.0,1.0,1.0,0.0,0.0,0.5539568345323741,20,30,0.5673104744248999,19.999999999999996,0.049999999999999996,False,0.6733204069087542,1.0911263010272112,2.3806395125144366,-0.7706330106942669,0.6701459239387281,1.3553956834532375,1.0,-0.12820572249249773,-0.04410310915846871,-0.3637148753955821,0.0055379233277996764,-0.10283544951382817,-0.19352517985611506,0.0
20,10,equal_weight,legacy_risk_scaled,,1.0,overall,139,0.34534396269000345,1.089198180282207,1.9863630015275533,-0.4886028653223091,0.7067988896507917,0.013793714776830257,0.002624454572086001,0.007458261943503612,0.6327697841726619,15.945798561151081,0.0216573639360633,0.000632769784172662,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5539568345323741,20,30,0.31913532235801223,19.999999999999996,0.049999999999999996,False,0.428110029075651,1.1308072354033507,2.115395876795119,-0.5711258140670186,0.3785880921496672,0.7301438848920864,0.5341726618705037,-0.08276606638564754,-0.04160905512114366,-0.1290328752675658,0.08252294874470945,-0.05945276979165498,-0.09737410071942443,0.0
20,10,equal_weight,vol_target_20pct_max_1p25,0.2,1.25,overall,139,0.31481369357803013,1.0795928098257543,2.1246076611100886,-0.4891529565363787,0.6435894731316363,0.012585285546650391,0.002624454572086001,0.007458261943503612,0.6090443701366315,15.347918127443114,0.020511817365973694,0.0006090443701366316,0.0,0.521802575779602,0.5,1.0,0.0,0.9568345323741008,0.5539568345323741,20,30,0.29376742128060074,19.999999999999996,0.049999999999999996,False,0.3879857851348867,1.1143425499836281,2.4689481720476336,-0.5110482515584063,0.3483325993827444,0.7071942446043167,0.5215827338129496,-0.07317209155685656,-0.0347497401578738,-0.34434051093754503,0.021895295022027583,-0.054565178102143674,-0.0981498744676852,0.00021984196665236766
