model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p25,0.25,1.25,2025,25,0.8592868578840394,2.4848570475511105,3.1062043092863174,-0.17938979168634406,4.790054382729138,0.026278575001762255,0.09019189801549282,0.10917532406885332,0.5275044504180029,13.293112150533672,0.06464151119416697,0.000527504450418003,0.0,0.5254447855372107,0.5,0.6209029597944561,0.0,1.0,0.72,30,45,0.2665022886113483,27.421891710846822,0.060407838062936724
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p25,0.25,1.25,2026,11,0.5648305481884317,1.5039306630354219,3.5341240836604473,-0.1165700049053967,4.845419270993634,0.019824444584808875,0.027895204049558718,0.04338840353177768,0.6242095579879183,15.73008086129554,0.035907669716957316,0.0006242095579879183,0.0,0.5526650853718623,0.5,0.6139345532297299,0.0,1.0,0.5454545454545454,30,45,0.3321802100429794,28.859212071757028,0.05078726915741038
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2021,26,-0.11187462717631402,-0.28687482878018433,-0.366243149784403,-0.2299140380065422,-0.4865932856745817,-0.003164930801233964,-0.04151941140090673,-0.054243463635006,0.5155330852879527,12.991433749256409,-0.008611414978174938,0.0005155330852879527,0.0,0.6679321794752613,0.5,1.0,0.0,0.9615384615384616,0.5769230769230769,30,45,0.27801761670839553,28.473721708713544,0.04596794090652622
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2022,26,-0.245998909099575,-0.8257766692914987,-1.5365428689513967,-0.2754652749451064,-0.893030561287976,-0.009540353315780152,-0.08470086902554524,-0.08391591623005151,0.4110017712759195,10.357244636153172,-0.02375138540620032,0.0004110017712759195,0.0,0.5,0.5,0.5,0.0,1.0,0.38461538461538464,30,45,0.2911403439914731,28.572814754759506,0.04658728801488613
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2023,25,0.680740176431494,2.170427496268513,6.120721183929119,-0.1046037442251474,6.507799328542962,0.02202104498055,0.06177551873293561,0.057163221451042814,0.5563558191502327,14.020166642585863,0.04855435700484221,0.0005563558191502327,0.0,0.5007536127264278,0.5,0.5188403181606968,0.0,1.0,0.64,30,45,0.25567789500636107,25.54293162790191,0.07088536718863042
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2024,26,0.42186414528833605,1.5274063602163026,2.0343044953109284,-0.11407571110302384,3.698106645220409,0.015263469018452762,-0.017673314871082705,-0.00026514577724847207,0.6751959508100834,17.014937960414102,0.02479375160049475,0.0006751959508100834,0.0,0.6022987314436673,0.5,0.7002561381497586,0.0,1.0,0.7307692307692307,30,45,0.2518252046629812,26.527455187381513,0.06345207791406877
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2025,25,0.8592868578840394,2.4848570475511105,3.1062043092863174,-0.17938979168634406,4.790054382729138,0.026278575001762255,0.09019189801549282,0.10917532406885332,0.5275044504180029,13.293112150533672,0.06464151119416697,0.000527504450418003,0.0,0.5254447855372107,0.5,0.6209029597944561,0.0,1.0,0.72,30,45,0.2665022886113483,27.421891710846822,0.060407838062936724
20,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2026,11,0.5648305481884317,1.5039306630354219,3.5341240836604473,-0.1165700049053967,4.845419270993634,0.019824444584808875,0.027895204049558718,0.04338840353177768,0.6242095579879183,15.73008086129554,0.035907669716957316,0.0006242095579879183,0.0,0.5526650853718623,0.5,0.6139345532297299,0.0,1.0,0.5454545454545454,30,45,0.3321802100429794,28.859212071757028,0.05078726915741038
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p50,0.25,1.5,2021,26,-0.04406398094771413,0.006694630113745376,0.009439391831275405,-0.23422517605960835,-0.18812657840205962,8.207162491590248e-05,-0.04151941140090673,-0.054243463635006,0.5825963211919732,14.681427294037725,-0.003001341767745494,0.0005825963211919733,0.0,0.7507898245188371,0.563142244272701,1.0,0.0,0.7692307692307693,0.5769230769230769,30,45,0.30893490943350493,28.473721708713544,0.04596794090652622
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p50,0.25,1.5,2022,26,-0.25986786432624853,-0.8356879161562585,-1.4949886403937231,-0.2793893954153147,-0.9301278738226723,-0.010108097848214878,-0.08470086902554524,-0.08391591623005151,0.42657062572245447,10.749579768205852,-0.02417469984220802,0.0004265706257224545,0.0,0.5138366694966763,0.5,0.5882682734414479,0.0,1.0,0.38461538461538464,30,45,0.30480764511543584,28.572814754759506,0.04658728801488613
