model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,pareto_return_sharpe_drawdown
10,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,140,0.358130455694025,1.0966927908444917,2.022857477627472,-0.5630152697224584,0.6360936815631438,0.0142985607977599,-0.0011540523006514,-0.0011540523006514,0.7588744029422761,19.12363495414536,0.018727112107753,0.0007588744029422,0.0,0.5415421761646968,0.5,1.0,0.0,0.9928571428571428,0.55,False
10,10,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,140,0.3810308113968073,1.1115331213703228,2.0858029125409834,-0.5803414355681142,0.656563167894094,0.0151548947793227,-0.0011540523006514,-0.0011540523006514,0.7831024709221357,19.73418226723782,0.0193081631778269,0.0007831024709221,0.0,0.5593659647699613,0.5,1.0,0.0,0.9571428571428572,0.55,False
10,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,140,0.358130455694025,1.0966927908444917,2.022857477627472,-0.5630152697224584,0.6360936815631438,0.0142985607977599,-0.0011540523006514,-0.0011540523006514,0.7588744029422761,19.12363495414536,0.018727112107753,0.0007588744029422,0.0,0.5415421761646968,0.5,1.0,0.0,0.9928571428571428,0.55,False
10,20,equal_weight,static_1x,,1.0,overall,71,0.4814476706391062,0.9613142503542382,2.07239680332779,-0.7899265292380158,0.6094841137991953,0.0438844551654131,0.0067186820940705,0.0073622946656994,1.5464788732394366,19.4856338028169,0.0247078270848704,0.0015464788732394,0.0,1.0,1.0,1.0,0.0,0.0,0.6338028169014085,False
10,20,equal_weight,legacy_risk_scaled,,1.0,overall,71,0.2615571868268185,0.9042550712218904,1.7175418379273917,-0.5304331806035698,0.4931011037605105,0.0222869715715737,0.0067186820940705,0.0073622946656994,0.8376056338028172,10.553830985915496,0.0247831509880987,0.0008376056338028,0.0,0.5366197183098594,0.45,1.0,0.0,0.8732394366197183,0.6338028169014085,False
10,20,equal_weight,vol_target_20pct_max_1p25,0.2,1.25,overall,71,0.2604974447891899,0.906781918372439,1.9476501853523336,-0.5784239516332591,0.4503572925250411,0.0221036625040247,0.0067186820940705,0.0073622946656994,0.8431940582189418,10.624245133558668,0.0245191485620338,0.0008431940582189,0.0,0.5470630654127564,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,71,0.2452310804916624,0.8836546337728592,1.835436309052048,-0.5718131664484368,0.4288657465073884,0.0209380635661814,0.0067186820940705,0.0073622946656994,0.8115039173738713,10.224949358910775,0.023983598537625,0.0008115039173738,0.0,0.5252320794972634,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,equal_weight,vol_target_20pct_max_1p50,0.2,1.5,overall,71,0.2604974447891899,0.906781918372439,1.9476501853523336,-0.5784239516332591,0.4503572925250411,0.0221036625040247,0.0067186820940705,0.0073622946656994,0.8431940582189418,10.624245133558668,0.0245191485620338,0.0008431940582189,0.0,0.5470630654127564,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_20pct_max_1p50,0.2,1.5,overall,71,0.2452310804916624,0.8836546337728592,1.835436309052048,-0.5718131664484368,0.4288657465073884,0.0209380635661814,0.0067186820940705,0.0073622946656994,0.8115039173738713,10.224949358910775,0.023983598537625,0.0008115039173738,0.0,0.5252320794972634,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,overall,71,0.2653341061672232,0.8779363803673106,1.772599464690268,-0.6185004906720328,0.4289957892821134,0.0229651020985114,0.0067186820940705,0.0073622946656994,0.8942970276283125,11.268142548116735,0.0235472798674852,0.0008942970276283,0.0,0.5808054483226881,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,71,0.2646754021058797,0.9120405579358404,1.9011571565359884,-0.5781509431450389,0.457796368308408,0.0224423497095083,0.0067186820940705,0.0073622946656994,0.841093035163934,10.597772243065569,0.0249746263682034,0.0008410930351639,0.0,0.5432054508274236,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,equal_weight,vol_target_25pct_max_1p50,0.25,1.5,overall,71,0.2653341061672232,0.8779363803673106,1.772599464690268,-0.6185004906720328,0.4289957892821134,0.0229651020985114,0.0067186820940705,0.0073622946656994,0.8942970276283125,11.268142548116735,0.0235472798674852,0.0008942970276283,0.0,0.5808054483226881,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_25pct_max_1p50,0.25,1.5,overall,71,0.2646754021058797,0.9120405579358404,1.9011571565359884,-0.5781509431450389,0.457796368308408,0.0224423497095083,0.0067186820940705,0.0073622946656994,0.841093035163934,10.597772243065569,0.0249746263682034,0.0008410930351639,0.0,0.5432054508274236,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,equal_weight,vol_target_30pct_max_1p25,0.3,1.25,overall,71,0.2904559676275089,0.8688348051965543,1.6687485336385937,-0.675756552934013,0.4298233829422763,0.0257197373018395,0.0067186820940705,0.0073622946656994,0.9985532380026864,12.581770798833848,0.0230854600891656,0.0009985532380026,0.0,0.6493683146992545,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,71,0.3054602042060466,0.9810168583544554,2.1156925603163095,-0.578211804239496,0.5282842757037949,0.0253767924292824,0.0067186820940705,0.0073622946656994,0.889308965230348,11.205292961902384,0.02726034966195,0.0008893089652303,0.0,0.5720921182842471,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,equal_weight,vol_target_30pct_max_1p50,0.3,1.5,overall,71,0.2904559676275089,0.8688348051965543,1.6687485336385937,-0.675756552934013,0.4298233829422763,0.0257197373018395,0.0067186820940705,0.0073622946656994,0.9985532380026864,12.581770798833848,0.0230854600891656,0.0009985532380026,0.0,0.6493683146992545,0.5,1.0,0.0,0.9154929577464788,0.6338028169014085,False
10,20,equal_weight,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,71,0.3054602042060466,0.9810168583544554,2.1156925603163095,-0.578211804239496,0.5282842757037949,0.0253767924292824,0.0067186820940705,0.0073622946656994,0.889308965230348,11.205292961902384,0.02726034966195,0.0008893089652303,0.0,0.5720921182842471,0.5,1.0,0.0,0.971830985915493,0.6338028169014085,False
10,20,buffer_inverse_volatility,static_1x,,1.0,overall,71,0.5234815895684768,1.0421132476949106,2.131105678743165,-0.785266727197026,0.6666290209914033,0.044902246099945,0.0067186820940705,0.0073622946656994,1.5248148416232696,19.2126670044532,0.0272466903968689,0.0015248148416232,0.0,1.0,1.0,1.0,0.0,0.0,0.5774647887323944,False
10,20,buffer_inverse_volatility,legacy_risk_scaled,,1.0,overall,71,0.2885543915418922,0.9880486904469884,1.8476547682817752,-0.5139297386739896,0.5614666165970523,0.023830049629636,0.0067186820940705,0.0073622946656994,0.82475061327544,10.391857727270544,0.0277673539337111,0.0008247506132754,0.0,0.5366197183098594,0.45,1.0,0.0,0.8732394366197183,0.5774647887323944,False
10,20,buffer_inverse_volatility,vol_target_20pct_max_1p25,0.2,1.25,overall,71,0.278087293574959,0.9933781920874822,1.9820544553081456,-0.5648272898557557,0.4923403995688244,0.0228550289378462,0.0067186820940705,0.0073622946656994,0.8392938949805895,10.575103076755427,0.026296414470532,0.0008392938949805,0.0,0.5525253281950506,0.5,1.0,0.0,0.9154929577464788,0.5774647887323944,False
10,20,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,71,0.2614120545919287,0.9657810229128524,1.8715497553658331,-0.5623214185246301,0.4648801307938774,0.0216397155112934,0.0067186820940705,0.0073622946656994,0.8085517233444892,10.187751714140564,0.0256594449812797,0.0008085517233444,0.0,0.5321219007381865,0.5,1.0,0.0,0.971830985915493,0.5774647887323944,False
10,20,buffer_inverse_volatility,vol_target_20pct_max_1p50,0.2,1.5,overall,71,0.278087293574959,0.9933781920874822,1.9820544553081456,-0.5648272898557557,0.4923403995688244,0.0228550289378462,0.0067186820940705,0.0073622946656994,0.8392938949805895,10.575103076755427,0.026296414470532,0.0008392938949805,0.0,0.5525253281950506,0.5,1.0,0.0,0.9154929577464788,0.5774647887323944,False
