period,num_rebalances,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown,configuration,portfolio_mode
2023,50,0.020314790588196338,0.01924679058819633,0.006716035744304651,0.012530754843891682,0.023499054806643646,-0.0031842642184473115,0.03514418434036138,1.068,0.0010680000000000002,0.5,0.42,1.2854132451820166,1.8039920254819681,1.4454637334624325,-0.4760408806191425,technical_only,turnover_buffer
2024,51,0.021682405552232133,0.020474562414977228,0.00672999781050881,0.01374456460446842,0.01322665702356534,0.008455748528666792,0.013602488409276,1.2078431372549019,0.001207843137254902,0.5490196078431373,0.5294117647058824,1.2356657049475994,1.5234976919022631,1.2420385672135872,-0.3121385421708861,technical_only,turnover_buffer
2025,50,0.021399278259653723,0.02023927825965372,0.0069975887315371224,0.013241689528116597,0.003507907619457605,0.017891370640196115,0.06192128646922315,1.16,0.00116,0.58,0.56,1.3030650084258188,1.6914695598312035,1.403995331175034,-0.3094796939383102,technical_only,turnover_buffer
2026,23,0.03033147702431824,0.028966259633013892,0.007780572057073414,0.02118568757594048,0.024082846190876216,0.006248630833442021,-0.005102897846645113,1.3652173913043482,0.001365217391304348,0.6956521739130435,0.6956521739130435,2.7061119845062276,2.6598070607623123,2.3403693753067976,-0.1053325189326183,technical_only,turnover_buffer
overall,276,0.011500434314081556,0.010310000786455715,0.005020820728455801,0.005289180057999913,0.010170374814478864,0.0013300594996026927,0.002866300119776227,1.1904335276258433,0.0011904335276258435,0.5507246376811594,0.5,0.40509481106269973,0.8661547046626457,0.5672808402944768,-0.7972555400997255,technical_only,turnover_buffer_inverse_volatility
2021,51,0.0019031379166049441,0.0008573383675784774,0.005671978230031205,-0.004814639862452729,0.015545889483606877,-0.013642751567001931,-0.03745125688367744,1.0457995490264658,0.0010457995490264656,0.5686274509803921,0.47058823529411764,-0.07610951383515596,0.08787514561374606,-0.6132499340097983,-0.4464752571986449,technical_only,turnover_buffer_inverse_volatility
2022,51,-0.01596591853593026,-0.017111651737971034,-0.0021840909435003318,-0.014927560794470702,-0.011071176603232005,-0.004894741932698256,-0.05350040911281717,1.145733202040774,0.0011457332020407742,0.39215686274509803,0.39215686274509803,-0.672038632235842,-1.2384588830366536,-1.505667265076104,-0.6428963865258603,technical_only,turnover_buffer_inverse_volatility
2023,50,0.02173538173390012,0.020579330300959466,0.006716035744304651,0.01386329455665481,0.023499054806643646,-0.0017636730727435262,0.03514418434036138,1.1560514329406593,0.001156051432940659,0.5,0.46,1.4693974321956875,2.0123907973530897,1.6937283540830468,-0.4407573970191404,technical_only,turnover_buffer_inverse_volatility
2024,51,0.0196689746331605,0.01840528479924296,0.00672999781050881,0.011675286988734155,0.01322665702356534,0.006442317609595153,0.013602488409276,1.2636898339175346,0.0012636898339175348,0.5882352941176471,0.5098039215686274,1.048398261959453,1.4239490088733668,1.1135139404013317,-0.31465375145229324,technical_only,turnover_buffer_inverse_volatility
2025,50,0.022518196263574975,0.02127593314313606,0.0069975887315371224,0.01427834441159893,0.003507907619457605,0.019010288644117367,0.06192128646922315,1.2422631204389203,0.0012422631204389203,0.64,0.58,1.4125571498214655,1.752124412356722,1.502119765596186,-0.3275022617933706,technical_only,turnover_buffer_inverse_volatility
2026,23,0.02937065548292004,0.02796076095589698,0.007780572057073414,0.020180188898823562,0.024082846190876216,0.005287809292043813,-0.005102897846645113,1.4098945270230565,0.0014098945270230566,0.6956521739130435,0.6956521739130435,2.5225049402641315,2.5369248986683637,2.1770102554613247,-0.10402522941417613,technical_only,turnover_buffer_inverse_volatility
overall,276,0.007091777139539261,0.006445174312972259,0.0030054542228332595,0.003439720090138999,0.005344659005820961,0.0017471181337183005,0.002866300119776227,0.6466028265670025,0.0006466028265670026,0.5507246376811594,0.5,0.29984589551819796,0.9150768670453105,0.6195670193627921,-0.5786322592037293,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2021,51,-0.003473303493491332,-0.004037407604889201,0.002554571084046977,-0.006591978688936179,0.006757704337933359,-0.01023100783142469,-0.03745125688367744,0.564104111397868,0.0005641041113978679,0.5686274509803921,0.47058823529411764,-0.22912964053405527,-0.6177648838978544,-1.231415215909826,-0.40098164219999866,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2022,51,-0.007184663341168617,-0.007700243282086964,-0.0009828409245751493,-0.006717402357511815,-0.004982029471454404,-0.002202633869714214,-0.05350040911281717,0.5155799409183484,0.0005155799409183484,0.39215686274509803,0.39215686274509803,-0.35481795859237975,-1.2384588830366534,-1.5056672650761036,-0.34033784931050903,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2023,50,0.012467305813685683,0.011895056544573835,0.003730601810899778,0.008164454733674055,0.012479965982493006,-1.2660168807325581e-05,0.03514418434036138,0.5722492691118463,0.0005722492691118463,0.5,0.46,0.7554333927378689,2.250048355590968,1.8984606240785598,-0.21698816613747318,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2024,51,0.015535236086197309,0.014714698021801375,0.004262163249634267,0.010452534772167107,0.007295208737998306,0.00824002734819901,0.013602488409276,0.8205380643959364,0.0008205380643959365,0.5882352941176471,0.5098039215686274,0.8719973263564083,1.5268358754839184,1.3247829627921,-0.14932742734223703,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2025,50,0.015623413133084057,0.014856541367810465,0.0052983558060374,0.009558185561773068,0.002785101291560512,0.012838311841523543,0.06192128646922315,0.7668717652735864,0.0007668717652735863,0.64,0.58,0.9753977178144009,2.071894217103225,1.843871145764001,-0.2178430166469003,technical_only,turnover_buffer_inverse_volatility_risk_scaled
2026,23,0.013219730928084508,0.012585165690654017,0.0035012574256830364,0.00908390826497098,0.010837280785894299,0.0023824501421902088,-0.005102897846645113,0.6345652374304909,0.0006345652374304909,0.6956521739130435,0.6956521739130435,0.8260514562244483,2.5374570813975867,2.177630949220162,-0.04694514299923602,technical_only,turnover_buffer_inverse_volatility_risk_scaled
