model_horizon_days,rebalance_every_days,base_policy,test_year,rebalance_date,holdings,base_unlevered_gross_return,raw_universe_return,realized_return_ic,model_target_ic,risk_state,regime_is_confident,top_n,buffer_rank,covariance_lookback,risk_anchor,signal_blend,base_effective_n,base_max_weight,base_top3_weight_share,weighted_score_z,weight_score_correlation,covariance_observations,avg_pairwise_correlation,max_pairwise_correlation,ex_ante_annualized_volatility,optimizer_fallback,optimizer_reason
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-06-12,"CLSK,ENPH,MARA,NET,PL,RBLX,RDDT,RGTI,RKLB,TSLA",0.05539246682076834,0.02396039914131386,0.15383304240814907,0.2044936006979426,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.673185827701463,0.18000000000000002,0.5228507463057714,2.5218653379842544,-0.34920322083287486,60,0.29770539497326687,0.6608471238688269,0.5164741837263304,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-06-27,"ALAB,CLSK,ENPH,FSLR,PL,RBLX,TE,TEM,TSLA,USAR",0.04620784433513371,0.028094574840325917,0.2297044663824032,0.2727732678258654,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.174096568358985,0.18,0.4825136250115259,2.537554301519595,-0.5107367836329006,60,0.18609186635669994,0.36245306396230054,0.4913640207798472,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-07-14,"ALAB,CNC,CORZ,ECHO,ENPH,FSLR,IONQ,RGTI,SITM,TE",0.023160350653771877,0.02099587872693245,0.10887773412400213,-0.019051660663882516,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.314087372862499,0.16897175286832714,0.3875443255066021,2.4286762696695163,0.5097387136678887,60,0.056339650659333676,0.3206154111842886,0.3620290819011334,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-07-28,"APLD,CNC,HIMS,IONQ,LUNR,MARA,QBTS,RDW,TE,USAR",-0.025727480510531798,-0.0124246768190232,-0.0541204603785148,0.005902344034344923,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.715346046589248,0.18,0.44573016124116105,2.752079097209948,0.8770006564714167,60,0.07311500768779336,0.3030892926512676,0.4258217753703047,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-08-11,"AXTI,CHTR,CVNA,DOCN,FTAI,GH,OKLO,QBTS,RDW,TER",0.08172582200215465,0.031742555384127666,0.1821535373575194,0.2728647845566482,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.406465348019378,0.17766171537635894,0.4686766854928824,2.0872964866416597,-0.6919589865176048,60,0.07206267978476799,0.39344663164781857,0.2926247114773035,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-08-25,"AAOI,CLS,CVNA,HUT,OKLO,RBLX,RDW,RGTI,RIOT,ROKU",0.08120658266847329,0.02140993751554376,0.24023424670260876,0.34408180058516563,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.473441936158326,0.18,0.5361717836652882,2.470784528692943,0.35484276381285057,60,0.23081981564128332,0.5829709696345705,0.38890911800456285,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-09-09,"AAOI,APLD,HOOD,HUT,KGC,NXT,PL,RGTI,RKLB,SMR",0.22244155116776582,0.04370804273897294,0.3318499113640434,0.29720111593729065,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.45965410128899,0.18,0.4665392326180007,2.568347094257822,0.2944224443898146,60,0.09884633839397455,0.318034818030521,0.339094249998863,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-09-23,"AAOI,AFRM,HIMS,MRVL,PL,POET,RDW,RKLB,SMR,SNOW",0.11601608725265601,0.019671963845306072,0.123192708423835,0.16998954051640727,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.78195808001952,0.13070817964970885,0.3570030766272094,2.6021745044596223,-0.034127115219072815,60,0.042718964065051344,0.10339734951861153,0.29933722046382144,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-10-07,"AAOI,ALAB,HIMS,NVTS,ORCL,POET,RDW,RKLB,RMBS,SMR",0.03618137431914166,0.007178924347688331,0.15413869312932474,0.04143831653954678,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.935477472972089,0.10933951526414268,0.32372542902056023,2.163792338024124,0.03607265483350225,60,0.02210639046570839,0.09453195364439931,0.30217734818492015,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-10-21,"AAOI,CDE,CLS,FICO,JOBY,MARA,NVTS,SMR,SMTC,TEM",-0.03337938923228381,-0.014872487691560386,-0.04663713614500126,-0.23309716836033537,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.9061962332148035,0.1799999999999999,0.4878925970449016,2.2639072172635175,0.5744120742434657,60,0.1530305095399883,0.38069922945884554,0.3482998742314076,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-11-04,"AA,ALB,CRDO,ENTG,FISV,HL,KVUE,RDDT,RMBS,SITM",0.030285108185293806,-0.022435499193692334,-0.33157468621432973,0.019748863469426604,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.66731933228624,0.18000000000000002,0.4629312785416382,2.2213208646604365,0.3652026242418335,60,0.09555333356703764,0.2913079480154465,0.2738966887119474,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-11-18,"ALAB,CVNA,EXPE,FISV,MRNA,ONDS,RDDT,SMR,STX,W",0.0689270046140614,0.055713208470791704,0.3484590112881119,0.1862982670777028,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.604075780671405,0.1722383499302607,0.464949276355092,2.256907165835013,-0.17495788961561176,60,0.05963227373219777,0.22315789140887213,0.30394249381593913,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-12-03,"AFRM,HOOD,LUNR,MOD,MP,ONDS,POET,TTMI,USAR,WULF",-0.09534848693891791,-0.007919288069769227,-0.1442284878369189,0.08873071118191897,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.026870067282373,0.18,0.5327263082620123,2.2927178005293225,-0.2050887227765777,60,0.2791894201072166,0.5962630552845642,0.5090902561546836,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2025,2025-12-17,"APLD,CIFR,CLSK,HOOD,HUT,LUNR,NVTS,QBTS,RGTI,USAR",0.22135627679975992,0.03438657190961965,0.39560976740688025,0.3310499318709211,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.567948082325735,0.18,0.5176921434002327,2.6433981072199026,-0.23004285012152179,60,0.4704523261783225,0.8517859418446305,0.7810159704950118,False,ok
