policy,sleeve_budget,policy_variant,comparator,drawdown_absolute_improvement,expected_shortfall_95_relative_improvement,maximum_recovery_days_relative_reduction,annualized_return_drag,sharpe_delta,years_with_drawdown_improvement,holdout_drawdown_delta,holdout_sharpe_delta,required_cost_stress_bps,stressed_sharpe_delta,stressed_drawdown_absolute_improvement,stressed_annualized_return_drag,drawdown_gate,expected_shortfall_gate,recovery_gate,return_drag_gate,sharpe_gate,yearly_drawdown_gate,holdout_drawdown_gate,holdout_sharpe_gate,cost_stress_gate,all_gates_pass
diversified_trend_overlay_20,0.1,diversified_trend_overlay_20@10%,baseline_cash_yield,0.0036970668833032905,-0.008276951678364414,0.0,0.003083045575487997,-0.004716352709043026,3,0.005372652959767854,0.009349844121841144,25.0,-0.013366901553971466,0.001183994475449035,0.007606510400150812,False,False,False,True,False,False,True,True,False,False
strategic_gold_10,0.15,strategic_gold_10@15%,baseline_cash_yield,0.06317322152598426,0.14354685859762886,0.0,0.04755442853159075,0.06086195827789043,6,0.021039071742165905,0.14345277904775156,25.0,0.05762838613021892,0.062364608702075275,0.049061513148672686,False,True,False,True,True,True,True,True,False,False
strategic_oil_10,0.15,strategic_oil_10@15%,baseline_cash_yield,0.11527369367660323,0.10514796975264551,0.03604651162790698,0.014272221533402796,0.12415398668881217,6,0.03440228039909521,0.19419605919555272,25.0,0.12098154154456187,0.11438714712292919,0.015812042276521998,True,True,False,True,True,True,True,True,True,False
strategic_diversified_10,0.15,strategic_diversified_10@15%,baseline_cash_yield,0.06458748555756932,0.1443112419052286,0.0,0.061484782740502286,0.03132055401546663,6,0.029308174258171893,0.08168002374840677,25.0,0.02807797155125602,0.06377640318499533,0.06297741487935316,False,True,False,False,True,True,True,True,False,False
regime_fixed_20,0.15,regime_fixed_20@15%,baseline_cash_yield,-0.0007141486446438083,-0.0020325271222270576,0.0,-0.008081066763935718,0.009595400553904065,2,0.01022701570154283,0.04786158966649934,25.0,0.006447987437922853,-0.0015606140712620675,-0.006315037813046764,False,False,False,True,True,False,True,True,False,False
regime_trend_20,0.15,regime_trend_20@15%,baseline_cash_yield,0.007812547418877935,-0.001806714042041693,0.0,-0.0025046688557948116,0.004342308860066479,4,0.00578312216791943,0.04135249423670562,25.0,-0.005997376462482107,0.004952557460164764,0.0030332963344044117,False,False,False,True,True,True,True,True,False,False
diversified_trend_overlay_20,0.15,diversified_trend_overlay_20@15%,baseline_cash_yield,0.005515722248568888,-0.012415427517546622,0.0,0.004674790665726292,-0.007465684589832877,3,0.008066335753953657,0.013680931433812216,25.0,-0.018861536945748103,0.0021638298154124103,0.01057586431320745,False,False,False,True,False,False,True,True,False,False
strategic_gold_10,0.2,strategic_gold_10@20%,baseline_cash_yield,0.08530377082843932,0.18893776196081485,0.0,0.06398954716914429,0.0833111664724826,6,0.02809714905768701,0.19786372962356014,25.0,0.08005290877793758,0.08451414475933883,0.0654156831928403,True,True,False,False,True,True,True,True,False,False
strategic_oil_10,0.2,strategic_oil_10@20%,baseline_cash_yield,0.1580348065992716,0.1315690227495216,0.03604651162790698,0.020615474553472124,0.16201979698913993,6,0.04251339038226054,0.2515218125540706,25.0,0.15887240053491825,0.15714281653388085,0.022081783850893322,True,True,False,True,True,True,True,True,True,False
strategic_diversified_10,0.2,strategic_diversified_10@20%,baseline_cash_yield,0.08733541748744866,0.1912207867563818,0.0,0.08223576223920248,0.04322409335457489,6,0.03923327959784395,0.11434006055676393,25.0,0.039952547794905646,0.08654247290993144,0.08364361191635927,True,True,False,False,True,True,True,True,False,False
regime_fixed_20,0.2,regime_fixed_20@20%,baseline_cash_yield,-0.001009883458542915,-0.0027100361629694538,0.0,-0.010718548486517987,0.012308574648457027,2,0.013644820955689752,0.06327730313144952,25.0,0.009169289888348198,-0.0018553765061660732,-0.008949641458232405,False,False,False,True,True,False,True,True,False,False
regime_trend_20,0.2,regime_trend_20@20%,baseline_cash_yield,0.01032231268807926,-0.005107473116857685,0.0,-0.0032124563868771716,0.0048664930245923,4,0.007715463594144656,0.05484728841282438,25.0,-0.007848173796070501,0.006782783963629191,0.00358521750119567,False,False,False,True,True,True,True,True,False,False
diversified_trend_overlay_20,0.2,diversified_trend_overlay_20@20%,baseline_cash_yield,0.007314090618686597,-0.016553903356729092,-0.16627906976744186,0.00629995670490846,-0.010474379256445454,3,0.010764928001501084,0.017782369804332898,25.0,-0.024616373008410797,0.0031189619957283643,0.01357485201997588,False,False,False,True,False,False,True,True,False,False
