model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,top_n,covariance_lookback,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_pairwise_correlation,avg_max_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate
20,10,shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,2025,25,1.1835217908701607,2.8901845251256217,4.171293043947515,-0.14029619665833437,8.435879368507834,0.033029058153627694,0.09019189801549282,0.10917532406885332,0.9998373529155293,25.195901293471337,0.046972790418766654,0.0009998373529155294,0.0,0.663158946323042,0.65,0.7570411517881686,0.0,1.0,0.76,15,60,0.2879858563477848,9.332903919399824,0.17007170832002977,0.23816860518773086,0.5780849046789536,0.451948228413705,0.0
20,10,shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,2026,11,0.4130477169310711,1.115904066856807,3.3479873590572136,-0.12402789084610977,3.3302809078932802,0.016011782256376807,0.027895204049558718,0.04338840353177768,1.0228894737611138,25.776814738780068,0.01602400145700156,0.0010228894737611138,0.0,0.6500000000000001,0.65,0.65,0.0,1.0,0.45454545454545453,15,60,0.36158745616658133,7.871811646120895,0.1754203368901066,0.28559491432171163,0.7291935089622467,0.3854471304594263,0.0
20,10,inverse_volatility,static_1x,,1.0,2021,26,-0.01090154838752977,0.2183437818412787,0.3104501526078097,-0.362589125644206,-0.030065844826871663,0.004215178314297852,-0.04151941140090673,-0.054243463635006,0.9464415320239061,23.850326607002433,-0.000457081723330744,0.0009464415320239062,0.0,1.0,1.0,1.0,0.0,0.0,0.46153846153846156,15,120,0.48649195605452367,14.251216945508057,0.09153108489776077,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2022,26,-0.4745371978824735,-0.6715078551011019,-1.522091448046617,-0.47129567000334294,-1.0068779071938165,-0.017400229492074353,-0.08470086902554524,-0.08391591623005151,1.0848084475356599,27.337172877898627,-0.017358678602282393,0.00108480844753566,0.0,1.0,1.0,1.0,0.0,0.0,0.34615384615384615,15,120,0.6529868263927538,14.259630502314952,0.09090971610916664,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2023,25,2.5667058448119566,2.1328130080431142,6.3475654633816125,-0.31748657895172805,8.084454635174387,0.060500622161141715,0.06177551873293561,0.057163221451042814,1.0420511368202825,26.25968864787112,0.09774319411133003,0.0010420511368202825,0.0,1.0,1.0,1.0,0.0,0.0,0.64,15,120,0.7148379500271463,13.497111807159927,0.10849253112597512,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2024,26,0.699793002115521,1.3451476774528257,1.773730213874284,-0.20789223540270618,3.366133423694051,0.025784845201600168,-0.017673314871082705,-0.00026514577724847207,1.1783819754747458,29.695225781963593,0.02356584210720378,0.0011783819754747455,0.0,1.0,1.0,1.0,0.0,0.0,0.6923076923076923,15,120,0.4830533553838084,13.996315719754309,0.09712545646181482,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2025,25,2.085563423809205,2.449643631948012,3.9909596007714505,-0.2638122870992633,7.905482518425993,0.050828277702569036,0.09019189801549282,0.10917532406885332,1.30203511765543,32.81128496491683,0.06356238184634265,0.0013020351176554299,0.0,1.0,1.0,1.0,0.0,0.0,0.72,15,120,0.5228811984730043,13.903139554917226,0.10203176299885901,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2026,11,0.590663012138896,1.0128457605270624,1.9990448801987815,-0.29764358373252875,1.9844641189029735,0.02547864412171477,0.027895204049558718,0.04338840353177768,1.335665942817655,33.6587817590049,0.017548555867767643,0.0013356659428176549,0.0,1.0,1.0,1.0,0.0,0.0,0.45454545454545453,15,120,0.6339186645092907,14.483316794947058,0.09600667390980379,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2021,26,-0.15674133078556796,-0.4177450742969631,-0.4452625232977948,-0.302418418697621,-0.5182929381767877,-0.004926232427534223,-0.04151941140090673,-0.054243463635006,0.5125944194350758,12.917379369763909,-0.012134143180191565,0.0005125944194350758,0.0,0.5346153846153846,0.45,1.0,0.0,0.8461538461538461,0.46153846153846156,15,120,0.2971694097956355,14.251216945508057,0.09153108489776077,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2022,26,-0.21260922212579236,-0.6715078551011021,-1.5220914480466177,-0.22645530298002658,-0.9388573344407154,-0.007830103271433462,-0.08470086902554524,-0.08391591623005151,0.48816380139104704,12.301727795054385,-0.017282874866672536,0.000488163801391047,0.0,0.44999999999999996,0.45,0.45,0.0,1.0,0.34615384615384615,15,120,0.2938440718767392,14.259630502314952,0.09090971610916664,,,,0.0
