policy,policy_label,policy_kind,period,num_rebalances,annualized_net_return,annualized_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_equity_exposure,avg_sleeve_gross_notional,avg_cash_weight,avg_sleeve_turnover,annualized_sleeve_turnover,avg_sleeve_transaction_cost,avg_short_borrow_cost,turnover_bps,budget_override,sleeve_budget
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,development_2021_2023,77,0.14527496188504596,0.34630585620827403,0.56011224835833,0.9673764776215392,-0.48927885242004643,0.2969164948913984,-0.1217049720780884,-0.2140050855670619,151356.8439934818,860,0.49025974025974045,0.03376623376623376,0.47597402597402594,0.052957773790845,1.334535899529294,2.64788868954225e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,holdout_2024_2026,62,1.1073592817918834,0.34737005552912664,2.3393702470831323,6.032897506171577,-0.12068252472914442,9.17580473458938,-0.08315514569737331,-0.08635542732625646,625892.4197092467,146,0.5887096774193551,0.037499999999999985,0.37379032258064515,0.056784814720404996,1.4309773309542058,2.8392407360202494e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2021,26,-0.1809562972217802,0.3162681116928167,-0.46521078830080015,-0.5539253116399139,-0.33363461436503195,-0.54237866645274,-0.15367787063734584,-0.2140050855670619,81386.97732122781,331,0.5346153846153846,0.04230769230769231,0.4230769230769231,0.0833400247933293,2.1001686247918983,4.1670012396664654e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2022,26,-0.18765403590443797,0.2907627262770944,-0.5757858686720504,-0.8963830164868292,-0.2644014867238864,-0.7097313945908498,-0.07971209599247558,-0.08831511196207803,80700.39546129917,362,0.44999999999999996,0.02884615384615385,0.5211538461538462,0.017846708712667417,0.4497370595592189,8.923354356333709e-06,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2023,25,1.3199148942465952,0.3934877688521796,2.3496496798333544,7.764466261707198,-0.16026006056053166,8.23608133948041,-0.05491789004160473,-0.06599891537126577,230447.22420236887,128,0.486,0.030000000000000006,0.484,0.057875740429565996,1.458468658825063,2.8937870214783002e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2024,26,0.8108947385757792,0.3855655748566812,1.7337214252443043,4.137730430487,-0.10936856447622267,7.414331005067477,-0.08560577908990938,-0.08635542732625646,184535.65592523993,146,0.6423076923076922,0.032692307692307694,0.32499999999999996,0.047783251519674295,1.2041379382957922,2.3891625759837145e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2025,25,1.7165101324145375,0.313784213405808,3.3891896055356483,11.0048077922259,-0.08101305068308162,21.188069304159722,-0.06142017030617935,-0.08101305068308162,269504.98017036513,43,0.594,0.037000000000000005,0.369,0.08266929071665344,2.0832661260596668,4.1334645358326696e-05,0.0,5.0,0.05,0.05
regime_trend_20,Risk-state 20% trend-confirmed diversifiers,regime_trend_long,2026,11,0.6933753683278236,0.3426689705823485,1.7021421004219917,4.192868050688013,-0.12068252472914442,5.745449640567354,-0.08039597392659285,-0.08039597392659285,125849.82153173476,74,0.45,0.05,0.5,0.019232882294294776,0.4846686338162283,9.616441147147387e-06,0.0,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,overall,139,0.5008812486872178,0.3507577635324713,1.3349714267445516,2.6819373870786385,-0.49001592417746054,1.022173411053928,-0.10599433416301171,-0.2140050855670619,939082.9873201445,860,0.5341726618705037,0.04172661870503596,0.4241007194244604,0.05671598207695003,1.4292427483391406,2.8357991038475012e-05,1.985315588650687e-06,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,development_2021_2023,77,0.14383490037568958,0.34552411458377014,0.5569656953621739,0.9604055932234524,-0.49001592417746054,0.2935310737444512,-0.12158749310441579,-0.2140050855670619,150776.07668505172,860,0.49025974025974045,0.04512987012987012,0.4646103896103897,0.0542234397922971,1.366430682765887,2.7111719896148548e-05,2.826660411850003e-06,5.0,0.05,0.05
