policy,period,num_rebalances,annualized_net_return,annualized_net_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_exposure,min_exposure,max_exposure,avg_cash_weight,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_controller_transaction_cost,avg_financing_cost,leveraged_period_share,deleveraged_period_share,net_hit_rate,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps,cash_proxy
drawdown_budget_79_m3,2025,25,1.1590084091133401,0.24253924399490667,3.3351162186450534,8.381682963418822,-0.08089427038216934,14.327447464917219,-0.061205680485120484,-0.0808942703821692,214586.067861106,57,0.4914938686844319,0.42140656550421135,0.6300000000000001,0.5085061313155681,0.8095551931462921,20.40079086728656,0.05681193521628879,0.0007957025964297878,1.385259671645661e-05,0.0,0.0,1.0,0.8,0.79,3.0,5.0,BIL
drawdown_budget_79_m3,2026,11,0.5257893105389366,0.29296432613551854,1.5846395638446347,3.3789309137553603,-0.11944813848795455,4.4018208838973125,-0.08110193710068768,-0.08110193710068768,120253.25350185164,103,0.42887720568965143,0.3085060589953909,0.45,0.5711227943103485,0.7288187351342077,18.366232125382034,0.028628044497613567,0.0007143996563562227,1.4419078777959046e-05,0.0,0.0,1.0,0.6363636363636364,0.79,3.0,5.0,BIL
drawdown_budget_79_m3.25,overall,139,0.3608288574582761,0.23039750927354394,1.4563899448495163,3.029234209533003,-0.20774028248450715,1.7369229171294016,-0.07811794487471414,-0.08698538365032255,547070.3425255333,860,0.34265330795547844,0.009269790906929679,0.6825000000000001,0.6573466920445216,0.5078357623643204,12.797461211580874,0.02819534683424157,0.0004875825425359692,2.0253219828321518e-05,0.0,0.0,1.0,0.5899280575539568,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,development_2021_2023,77,0.10222413055845703,0.17289460906882168,0.6472261702908458,1.1740855583628338,-0.20774028248450715,0.4920765935998989,-0.06872560325352679,-0.08698538365032255,134635.03032053323,860,0.21767489163933468,0.009269790906929679,0.680384267350997,0.7823251083606654,0.2935723660656378,7.398023624854073,0.013817762113523044,0.0002705158579289216,2.3056508136694194e-05,0.0,0.0,1.0,0.5064935064935064,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,confirmation_2024_2026,62,0.7680002848254239,0.27790144598182936,2.2069096704522284,4.8145727160273415,-0.12250023685322786,6.269377958391982,-0.08136137901560044,-0.08671267079984867,406335.8111355511,146,0.4978684378964954,0.3240732843131771,0.6825000000000001,0.5021315621035046,0.7739370771223617,19.503214343483513,0.03937813897236027,0.0007571653605156894,1.677171660663287e-05,0.0,0.0,1.0,0.6935483870967742,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,2021,26,-0.05398006541552325,0.19501468666665978,-0.18952733705984565,-0.25366712085117543,-0.18594453179200165,-0.2903019782044765,-0.08117654182325765,-0.08698538365032255,94435.48557628044,331,0.35682063712163853,0.13514857469378314,0.63277095919483,0.6431793628783614,0.45797786934098195,11.541042307392745,-0.004677226196540819,0.0004214570114656746,3.652085787527038e-05,0.0,0.0,1.0,0.5,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,2022,26,-0.01972409567484157,0.022454417782744755,-0.8759485893637812,-0.9623136212078491,-0.026774282028329877,-0.7366806569816324,-0.011724409374207611,-0.01904409790432044,97965.61547920135,362,0.02458809747095063,0.009269790906929679,0.09603801550291734,0.9754119025290494,0.044970701606840566,1.1332616804923823,-0.017404714210641797,3.777391891549885e-05,7.19678269133932e-06,0.0,0.0,1.0,0.4230769230769231,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,2023,25,0.4596635960600879,0.2220502225398078,1.817393411007367,5.458925680028717,-0.14505736640397293,3.168840076552626,-0.03856005431084053,-0.04119306300983791,145528.8787962732,157,0.2737735822728581,0.030541857396192314,0.680384267350997,0.7262264177271418,0.38113637369642894,9.604636617150009,0.04785850984089435,0.0003555886748246584,2.5547698871744026e-05,0.0,0.0,1.0,0.6,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,2024,26,0.4970140547394706,0.2967970603077515,1.5094024925856093,3.0567529716118296,-0.1115759823314284,4.454489616440267,-0.08171152928977243,-0.08671267079984867,151631.2111912001,146,0.513790631267996,0.3600511141766411,0.6825000000000001,0.48620936873200404,0.7264270389655316,18.305961381931397,0.027150393490398175,0.0007068586040652477,1.95684349002482e-05,0.0,0.0,1.0,0.6153846153846154,0.79,3.25,5.0,BIL
drawdown_budget_79_m3.25,2025,25,1.2392069132042955,0.2517074680691561,3.370956770316535,8.790256892496789,-0.08092052038216913,15.313877213737683,-0.06121880548512048,-0.0809205203821692,222492.66636761368,43,0.5074820232737133,0.45,0.6825,0.49251797672628683,0.8382941665191214,21.125012996281857,0.058660646193325616,0.0008220885502583544,1.620561626071848e-05,0.0,0.0,1.0,0.8,0.79,3.25,5.0,BIL
