test_year,rebalance_date,gross_top10_5d_return,net_top10_5d_return,universe_5d_return,net_excess_vs_universe,bottom10_5d_return,long_short_5d_return,spearman_ic,turnover,transaction_cost,top10_holdings
2023,2023-02-15 05:00:00,-0.020853466555407946,-0.021853466555407947,-0.03380686193588356,0.011953395380475611,-0.050682372729907096,0.02982890617449915,0.13293978903933282,1.0,0.001,"ROKU,MDB,META,ABNB,EA,AMD,AMGN,PFE,GIS,JNJ"
2023,2023-02-23 05:00:00,-0.02900232134798284,-0.03040232134798284,-0.0036159885543720024,-0.026786332793610836,-0.0032825803082247606,-0.02571974103975808,-0.18135094210429994,1.4000000000000001,0.0014000000000000002,"ROKU,NET,SHOP,NVDA,MDB,ABNB,NEM,AMT,AMZN,CCI"
2023,2023-03-02 05:00:00,-0.02453300688054403,-0.02553300688054403,-0.016934172254306136,-0.008598834626237895,-0.02294693642376746,-0.0015860704567765699,-0.04449498475206481,1.0,0.001,"ROKU,NET,META,BAC,CCI,NVDA,DIS,NEM,PANW,GOOGL"
2023,2023-03-09 05:00:00,0.01401994437430662,0.01241994437430662,0.004932125571442026,0.007487818802864593,-0.03306254536947088,0.0470824897437775,0.14183639339129914,1.6,0.0016,"COIN,ROKU,CHTR,BAC,SHOP,NFLX,IBM,USB,VZ,BMY"
2023,2023-03-16 04:00:00,-0.005148747334060789,-0.006148747334060789,-0.00583420849339884,-0.0003145388406619494,-0.02038262202345808,0.01523387468939729,-0.12286429933818899,1.0,0.001,"SCHW,SHOP,BAC,XOM,BLK,GS,HD,CHTR,VZ,NFLX"
2023,2023-03-23 04:00:00,0.03388691288985125,0.032486912889851255,0.027562599357140928,0.004924313532710327,0.039125711870473576,-0.005238798980622322,0.17801541011845345,1.4000000000000001,0.0014000000000000002,"SCHW,COIN,BAC,FCX,CCI,CHTR,ROKU,AMT,D,EOG"
2023,2023-03-30 04:00:00,-0.01217607877995564,-0.01357607877995564,0.00799181345152425,-0.02156789223147989,0.007148676423398992,-0.01932475520335463,-0.12742630462840926,1.4000000000000001,0.0014000000000000002,"SCHW,COIN,USB,WFC,HAL,SLB,ROKU,C,UAL,ALB"
2023,2023-04-06 04:00:00,0.04360105325215125,0.04280105325215125,0.012155466607684158,0.030645586644467093,0.0031750017031780186,0.04042605154897323,0.30604202659240226,0.8,0.0008,"COIN,USB,SCHW,HAL,SLB,VLO,ALB,MDB,CAT,BAC"
2023,2023-04-14 04:00:00,-0.02702509809065621,-0.02802509809065621,-0.004546293469223885,-0.023478804621432325,0.00016757197231096946,-0.02719267006296718,-0.12320719890839034,1.0,0.001,"COIN,USB,ROKU,SCHW,MDB,MU,UAL,RCL,ALB,NET"
2023,2023-04-21 04:00:00,0.011850597624522249,0.01085059762452225,-0.0010069877190158464,0.011857585343538096,0.0032634417667297792,0.00858715585779247,0.036174875119473475,1.0,0.001,"CSCO,ROKU,VLO,USB,SCHW,MU,CHTR,WBD,QCOM,RCL"
2023,2023-04-28 04:00:00,-0.04707860691694041,-0.04807860691694041,-0.0069291892086987585,-0.04114941770824165,-0.004755062767885371,-0.04232354414905504,-0.23786316134463256,1.0,0.001,"NET,VLO,ROKU,PFE,SCHW,MDB,META,MU,WBD,MPC"
2023,2023-05-05 04:00:00,0.03544039441214584,0.03444039441214584,-0.005498419062151519,0.039938813474297355,-0.02012141137558326,0.055561805787729096,-0.023707246328510984,1.0,0.001,"NET,SHOP,COIN,MPC,UBER,VLO,ALB,META,T,MDB"
2023,2023-05-12 04:00:00,0.04247978072232121,0.04127978072232121,0.015215122294908484,0.026064658427412728,-0.009206727309954829,0.05168650803227604,0.28267873178253833,1.2000000000000002,0.0012000000000000001,"COIN,SHOP,NET,USB,WBD,GILD,CRWD,UBER,AMD,FCX"
2023,2023-05-19 04:00:00,0.01404744340887952,0.01304744340887952,-0.0005418046768997508,0.01358924808577927,-0.01530614748909162,0.02935359089797114,0.1360564929837229,1.0,0.001,"COIN,SHOP,NET,USB,WBD,PFE,MDB,D,ANET,T"
2023,2023-05-26 04:00:00,0.01256600346000129,0.01116600346000129,0.01978776938830196,-0.00862176592830067,0.008413540195219369,0.004152463264781921,-0.030845001009235463,1.4000000000000001,0.0014000000000000002,"COIN,NVDA,SHOP,NKE,ABBV,AMGN,D,DUK,AEP,NEM"
2023,2023-06-05 04:00:00,0.06081775521921452,0.059217755219214525,0.01653078222562897,0.04268697299358555,0.0021881566672367005,0.05862959855197782,0.04677365091145674,1.6,0.0016,"NVDA,TGT,ANET,AVGO,NEM,AMD,VLO,WBD,SNPS,ROKU"
2023,2023-06-12 04:00:00,0.02887224148746077,0.02787224148746077,0.007039693302750997,0.02083254818470977,0.005535067349522381,0.02333717413793839,-0.04335364582045724,1.0,0.001,"COIN,NVDA,TGT,NET,NKE,WBD,SNPS,NEM,T,PYPL"
2023,2023-06-20 04:00:00,0.002353155705219617,0.001353155705219617,0.0022216245622158556,-0.0008684688569962386,0.022085225792158637,-0.01973207008693902,-0.260960689831537,1.0,0.001,"COIN,NVDA,INTC,NET,ANET,SHOP,ROKU,TGT,T,AVGO"
2023,2023-06-27 04:00:00,0.016569459419875938,0.015169459419875938,0.013809966918542195,0.0013594925013337422,0.03701298119108458,-0.02044352177120864,-0.100661869213814,1.4000000000000001,0.0014000000000000002,"REGN,TGT,KHC,NET,INTC,ABBV,MELI,NEM,XEL,CCI"
2023,2023-07-05 04:00:00,0.018112481637892027,0.016712481637892025,0.011675536875562378,0.005036944762329647,0.01071843938250919,0.007394042255382836,-0.008095173602761307,1.4000000000000001,0.0014000000000000002,"COIN,WBD,NET,TGT,GIS,AMD,PFE,NKE,NEM,MU"
2023,2023-07-12 04:00:00,0.06066520047209749,0.059865200472097486,0.021268967013771352,0.038596233458326135,0.031802167228124845,0.028863033243972644,-0.08029627432091342,0.8,0.0008,"GIS,COIN,NET,ROKU,SHOP,BMY,PFE,TGT,NKE,UNH"
2023,2023-07-19 04:00:00,-0.00731259711196367,-0.008312597111963669,0.0028141424290841024,-0.011126739541047771,0.0009465927422624802,-0.00825918985422615,-0.018431779541803566,1.0,0.001,"USB,ROKU,NET,SCHW,GIS,DIS,BMY,MRK,GS,TGT"
2023,2023-07-26 04:00:00,0.007799752293755735,0.006799752293755735,-0.008430195931829086,0.015229948225584822,0.00624056437743796,0.0015591879163177752,-0.03338757400813625,1.0,0.001,"SCHW,NET,ROKU,RTX,COIN,AMD,GIS,DIS,VZ,WBD"
2023,2023-08-02 04:00:00,-0.03538953963803448,-0.03638953963803448,-0.01020133327018775,-0.026188206367846727,-0.027188898270897655,-0.008200641367136823,-0.019552852454227245,1.0,0.001,"COIN,ALB,ROKU,SCHW,AMD,VZ,T,CCI,SHOP,PFE"
2023,2023-08-09 04:00:00,-0.027853582044476622,-0.029453582044476623,-0.01589173040912708,-0.013561851635349544,-0.01996515887396701,-0.007888423170509612,-0.14884717590960597,1.6,0.0016,"FTNT,COIN,CRM,ANET,ISRG,ALB,HON,XEL,WBD,SPOT"
2023,2023-08-16 04:00:00,0.003933456668958232,0.0029334566689582318,0.003524866974724639,-0.0005914103057664071,-0.010659384420946421,0.014592841089904652,0.2226843776499096,1.0,0.001,"FTNT,ANET,CCI,EA,C,D,ISRG,ALB,XEL,NEE"
