rank_by_market_cap,ticker,yahoo_symbol,company_name,sector,industry,market_cap,currency,source,fetch_error,snapshot_date
80,EQIX,EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,100199274351.17773,USD,yfinance,,2026-07-08
81,SPOT,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,99770966249.42105,USD,yfinance,,2026-07-08
82,NEM,NEM,Newmont Corporation,Basic Materials,Gold,99495914346.88751,USD,yfinance,,2026-07-08
83,DUK,DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,98845005067.17166,USD,yfinance,,2026-07-08
84,MAR,MAR,Marriott International,Consumer Cyclical,Lodging,97870670278.33658,USD,yfinance,,2026-07-08
85,NET,NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,97040474631.22083,USD,yfinance,,2026-07-08
86,USB,USB,U.S. Bancorp,Financial Services,Banks - Regional,95021635408.0,USD,yfinance,,2026-07-08
87,MELI,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,91730467414.70483,USD,yfinance,,2026-07-08
88,ADBE,ADBE,Adobe Inc.,Technology,Software - Application,87823650970.45898,USD,yfinance,,2026-07-08
89,ABNB,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,84841526931.61671,USD,yfinance,,2026-07-08
90,VLO,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,83996346822.0271,USD,yfinance,,2026-07-08
91,SNPS,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,83197766712.5,USD,yfinance,,2026-07-08
92,CMCSA,CMCSA,Comcast Corporation,Communication Services,Telecom Services,82839982144.60587,USD,yfinance,,2026-07-08
93,FCX,FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,82659692237.5,USD,yfinance,,2026-07-08
94,MPC,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,81940772573.59222,USD,yfinance,,2026-07-08
95,SHW,SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals,81530339040.38324,USD,yfinance,,2026-07-08
96,ECL,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,77147646674.03345,USD,yfinance,,2026-07-08
97,AMT,AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,76890988979.81581,USD,yfinance,,2026-07-08
98,EMR,EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,76442445606.99463,USD,yfinance,,2026-07-08
99,MDLZ,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,76351487494.07178,USD,yfinance,,2026-07-08
100,RCL,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,75349382342.96448,USD,yfinance,,2026-07-08
101,PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,75299605127.35474,USD,yfinance,,2026-07-08
