ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
ADI,COMMON_STOCK,NASDAQ,True,ADI,"Analog Devices, Inc.","Analog Devices, Inc.",Technology,Semiconductors,187723342243.05664,USD,,2026-07-08
NEE,COMMON_STOCK,NYSE,True,NEE,"NextEra Energy, Inc.","NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,182365337595.32996,USD,,2026-07-08
VZ,COMMON_STOCK,NYSE,True,VZ,Verizon Communications Inc.,Verizon Communications Inc.,Communication Services,Telecom Services,177252478915.19864,USD,,2026-07-08
SCHW,COMMON_STOCK,NYSE,True,SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation,Financial Services,Capital Markets,176870075754.4796,USD,,2026-07-08
TJX,COMMON_STOCK,NYSE,True,TJX,"TJX Companies, Inc. (The)","The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,168787784887.50107,USD,,2026-07-08
GILD,COMMON_STOCK,NASDAQ,True,GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,168630029380.20935,USD,,2026-07-08
DIS,COMMON_STOCK,NYSE,True,DIS,Walt Disney Company (The),The Walt Disney Company,Communication Services,Entertainment,167920649401.3877,USD,,2026-07-08
DE,COMMON_STOCK,NYSE,True,DE,Deere & Company,Deere & Company,Industrials,Farm & Heavy Construction Machinery,161082456358.39233,USD,,2026-07-08
ETN,COMMON_STOCK,NYSE,True,ETN,"Eaton Corporation, PLC",Eaton Corporation plc,Industrials,Specialty Industrial Machinery,155149147052.00195,USD,,2026-07-08
SHOP,COMMON_STOCK,NASDAQ,True,SHOP,Shopify Inc.,Shopify Inc.,Technology,Software - Application,154706384188.25104,USD,,2026-07-08
BLK,COMMON_STOCK,NYSE,True,BLK,"BlackRock, Inc.","BlackRock, Inc.",Financial Services,Asset Management,153498137704.73383,USD,,2026-07-08
UBER,COMMON_STOCK,NYSE,True,UBER,"Uber Technologies, Inc.","Uber Technologies, Inc.",Technology,Software - Application,149820084250.7224,USD,,2026-07-08
ISRG,COMMON_STOCK,NASDAQ,True,ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,147012997875.83844,USD,,2026-07-08
T,COMMON_STOCK,NYSE,True,T,AT&T Inc.,AT&T Inc.,Communication Services,Telecom Services,146748922026.47803,USD,,2026-07-08
PFE,COMMON_STOCK,NYSE,True,PFE,"Pfizer, Inc.",Pfizer Inc.,Healthcare,Drug Manufacturers - General,137071627916.1192,USD,,2026-07-08
CRM,COMMON_STOCK,NYSE,True,CRM,"Salesforce, Inc.","Salesforce, Inc.",Technology,Software - Application,136429021499.6338,USD,,2026-07-08
BKNG,COMMON_STOCK,NASDAQ,True,BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,Consumer Cyclical,Travel Services,135053557408.0091,USD,,2026-07-08
DHR,COMMON_STOCK,NYSE,True,DHR,Danaher Corporation,Danaher Corporation,Healthcare,Diagnostics & Research,135021405536.71236,USD,,2026-07-08
COP,COMMON_STOCK,NYSE,True,COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P,134889513942.2153,USD,,2026-07-08
PLD,COMMON_STOCK,NYSE,True,PLD,"Prologis, Inc.","Prologis, Inc.",Real Estate,REIT - Industrial,131459658000.0,USD,,2026-07-08
VRTX,COMMON_STOCK,NASDAQ,True,VRTX,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,126504232136.3836,USD,,2026-07-08
